Date,Consumption value
01/1/2012,1015
01/2/2012,1238
01/3/2012,1106
01/4/2012,438
01/5/2012,397
01/6/2012,543
01/7/2012,1423
01/8/2012,1375
01/9/2012,1592
01/10/2012,2183
01/11/2012,1976
01/12/2012,2017
01/1/2013,1098
01/2/2013,1104
01/3/2013,1235
01/4/2013,317
01/5/2013,345
01/6/2013,412
01/7/2013,1334
01/8/2013,1358
01/9/2013,1485
01/10/2013,2143
01/11/2013,2194
01/12/2013,2201
01/1/2014,1071
01/2/2014,1134
01/3/2014,1253
01/4/2014,387
01/5/2014,337
01/6/2014,518
01/7/2014,1364
01/8/2014,1253
01/9/2014,1573
01/10/2014,2034
01/11/2014,2009
01/12/2014,2165
01/1/2015,1156
01/2/2015,1087
01/3/2015,1346
01/4/2015,292
01/5/2015,395
01/6/2015,473
01/7/2015,1356
01/8/2015,1435
01/9/2015,1678
01/10/2015,2057
01/11/2015,1992
01/12/2015,2180
