Date ,Consumption value 
30/1/2012,213
30/2/2012,462
30/3/2012,119
30/4/2012,349
30/5/2012,284
30/6/2012,156
30/7/2012,465
30/8/2012,91
30/9/ 2012,114
30/10/ 2012,200
30/11/ 2012,430
30/12/ 2012,289
30/1/ 2013,223
30/2/ 2013,268
30/3/ 2013,339
30/4/2013,109
30/5/2013,341
30/6/ 2013,363
30/7/2013,116
30/8/2013,217
30/9/2013,270
30/10/ 2013,204
30/11/2013,311
30/12/2013,280
30/1/ 2014,444
30/2/ 2014,148
30/3/ 2014,289
30/4/ 2014,356
30/5/ 2014,396
30/6/2014,161
30/7/2014,93
30/8/2014,357
30/9/ 2014,412
30/10/ 2014,209
30/11/2014,58
30/12/2014,465
30/1/ 2015,278
30/2/2015,348
30/3/ 2015,219
30/4/ 2015,283
30/5/2015,407
30/6/2015,72
30/7/2015,75
30/8/2015,116
30/9/ 2015,454
30/10/2015,53
30/11/2015,185
30/12/2015,52
