Date,Consumption value
01/1/2012,1143
01/2/2012,1275
01/3/2012,1109
01/4/2012,329
01/5/2012,374
01/6/2012,585
01/7/2012,1379
01/8/2012,1246
01/9/2012,1563
01/10/2012,2037
01/11/2012,2099
01/12/2012,2111
01/1/2013,1067
01/2/2013,1184
01/3/2013,1249
01/4/2013,284
01/5/2013,451
01/6/2013,526
01/7/2013,1484
01/8/2013,1381
01/9/2013,1783
01/10/2013,2142
01/11/2013,2061
01/12/2013,1959
01/1/2014,1129
01/2/2014,1278
01/3/2014,1335
01/4/2014,197
01/5/2014,474
01/6/2014,548
01/7/2014,1321
01/8/2014,1464
01/9/2014,1737
01/10/2014,2093
01/11/2014,2116
01/12/2014,1998
01/1/2015,1345
01/2/2015,1097
01/3/2015,1212
01/4/2015,372
01/5/2015,425
01/6/2015,497
01/7/2015,1303
01/8/2015,1472
01/9/2015,1691
01/10/2015,1988
01/11/2015,2075
01/12/2015,2109
