Date,Consumption value
01/1/2012,1023
01/2/2012,1167
01/3/2012,1211
01/4/2012,394
01/5/2012,298
01/6/2012,455
01/7/2012,1399
01/8/2012,1245
01/9/2012,1533
01/10/2012,2145
01/11/2012,1987
01/12/2012,2021
01/1/2013,1188
01/2/2013,1142
01/3/2013,1275
01/4/2013,271
01/5/2013,471
01/6/2013,389
01/7/2013,1495
01/8/2013,1283
01/9/2013,1465
01/10/2013,1997
01/11/2013,2108
01/12/2013,2052
01/1/2014,1221
01/2/2014,1076
01/3/2014,1258
01/4/2014,367
01/5/2014,286
01/6/2014,434
01/7/2014,1302
01/8/2014,1381
01/9/2014,1475
01/10/2014,2018
01/11/2014,1947
01/12/2014,2134
01/1/2015,1114
01/2/2015,1085
01/3/2015,1226
01/4/2015,292
01/5/2015,463
01/6/2015,357
01/7/2015,1457
01/8/2015,1369
01/9/2015,1492
01/10/2015,1933
01/11/2015,2028
01/12/2015,2111
