Date,Consumption value
01/1/2012,1572
01/2/2012,1656
01/3/2012,1849
01/4/2012,812
01/5/2012,827
01/6/2012,938
01/7/2012,1797
01/8/2012,1825
01/9/2012,2028
01/10/2012,2754
01/11/2012,2791
01/12/2012,2689
01/1/2013,1694
01/2/2013,1745
01/3/2013,1737
01/4/2013,698
01/5/2013,856
01/6/2013,843
01/7/2013,1926
01/8/2013,1825
01/9/2013,2064
01/10/2013,2718
01/11/2013,2785
01/12/2013,2747
01/1/2014,1797
01/2/2014,1678
01/3/2014,1743
01/4/2014,678
01/5/2014,742
01/6/2014,917
01/7/2014,1854
01/8/2014,1823
01/9/2014,2054
01/10/2014,2719
01/11/2014,2791
01/12/2014,2746
01/1/2015,1718
01/2/2015,1729
01/3/2015,1827
01/4/2015,787
01/5/2015,835
01/6/2015,843
01/7/2015,1851
01/8/2015,1824
01/9/2015,2072
01/10/2015,2646
01/11/2015,2785
01/12/2015,2889
