Date,Consumption value
01/1/2012,1372
01/2/2012,1256
01/3/2012,1479
01/4/2012,512
01/5/2012,627
01/6/2012,738
01/7/2012,1567
01/8/2012,1645
01/9/2012,1728
01/10/2012,2374
01/11/2012,2421
01/12/2012,2189
01/1/2013,1394
01/2/2013,1245
01/3/2013,1137
01/4/2013,298
01/5/2013,456
01/6/2013,343
01/7/2013,1796
01/8/2013,1625
01/9/2013,1764
01/10/2013,2168
01/11/2013,2285
01/12/2013,2447
01/1/2014,1187
01/2/2014,1362
01/3/2014,1243
01/4/2014,478
01/5/2014,342
01/6/2014,517
01/7/2014,1604
01/8/2014,1723
01/9/2014,1854
01/10/2014,2139
01/11/2014,2391
01/12/2014,2346
01/1/2015,1408
01/2/2015,1129
01/3/2015,1327
01/4/2015,487
01/5/2015,637
01/6/2015,743
01/7/2015,1751
01/8/2015,1634
01/9/2015,1812
01/10/2015,2126
01/11/2015,2305
01/12/2015,2489
