Date,Consumption value
01/1/2012,1234
01/2/2012,1378
01/3/2012,1111
01/4/2012,475
01/5/2012,298
01/6/2012,655
01/7/2012,1699
01/8/2012,1792
01/9/2012,1933
01/10/2012,2245
01/11/2012,2387
01/12/2012,2421
01/1/2013,1298
01/2/2013,1342
01/3/2013,1435
01/4/2013,271
01/5/2013,471
01/6/2013,389
01/7/2013,1745
01/8/2013,1683
01/9/2013,1765
01/10/2013,2197
01/11/2013,2398
01/12/2013,2452
01/1/2014,1421
01/2/2014,1276
01/3/2014,1358
01/4/2014,467
01/5/2014,386
01/6/2014,534
01/7/2014,1662
01/8/2014,1531
01/9/2014,1675
01/10/2014,2218
01/11/2014,2147
01/12/2014,2334
01/1/2015,1314
01/2/2015,1185
01/3/2015,1426
01/4/2015,392
01/5/2015,563
01/6/2015,457
01/7/2015,1887
01/8/2015,1549
01/9/2015,1792
01/10/2015,2133
01/11/2015,2328
01/12/2015,2431
