Date,Consumption value
01/1/2012,1443
01/2/2012,1275
01/3/2012,1139
01/4/2012,529
01/5/2012,274
01/6/2012,685
01/7/2012,1749
01/8/2012,1546
01/9/2012,1673
01/10/2012,2237
01/11/2012,2349
01/12/2012,2491
01/1/2013,1267
01/2/2013,1184
01/3/2013,1349
01/4/2013,384
01/5/2013,451
01/6/2013,526
01/7/2013,1874
01/8/2013,1658
01/9/2013,1783
01/10/2013,2242
01/11/2013,2461
01/12/2013,2159
01/1/2014,1129
01/2/2014,1378
01/3/2014,1435
01/4/2014,297
01/5/2014,474
01/6/2014,648
01/7/2014,1721
01/8/2014,1764
01/9/2014,1837
01/10/2014,2193
01/11/2014,2216
01/12/2014,2398
01/1/2015,1345
01/2/2015,1197
01/3/2015,1212
01/4/2015,472
01/5/2015,625
01/6/2015,497
01/7/2015,1903
01/8/2015,1572
01/9/2015,1691
01/10/2015,2188
01/11/2015,2375
01/12/2015,2429
