Date,Consumption value
01/1/2012,1689
01/2/2012,1778
01/3/2012,1743
01/4/2012,856
01/5/2012,749
01/6/2012,869
01/7/2012,1916
01/8/2012,1897
01/9/2012,2092
01/10/2012,2798
01/11/2012,2769
01/12/2012,2817
01/1/2013,1629
01/2/2013,1653
01/3/2013,1837
01/4/2013,709
01/5/2013,837
01/6/2013,783
01/7/2013,1817
01/8/2013,1948
01/9/2013,2186
01/10/2013,2701
01/11/2013,2857
01/12/2013,2785
01/1/2014,1794
01/2/2014,1736
01/3/2014,1797
01/4/2014,738
01/5/2014,819
01/6/2014,799
01/7/2014,1872
01/8/2014,1968
01/9/2014,2048
01/10/2014,2694
01/11/2014,2853
01/12/2014,2896
01/1/2015,1763
01/2/2015,1789
01/3/2015,1885
01/4/2015,781
01/5/2015,819
01/6/2015,871
01/7/2015,1943
01/8/2015,1951
01/9/2015,2104
01/10/2015,2785
01/11/2015,2794
01/12/2015,2872
