Date,Consumption value
01/1/2012,1278
01/2/2012,1395
01/3/2012,1247
01/4/2012,392
01/5/2012,547
01/6/2012,489
01/7/2012,1615
01/8/2012,1774
01/9/2012,1859
01/10/2012,2264
01/11/2012,2392
01/12/2012,2487
01/1/2013,1149
01/2/2013,1348
01/3/2013,1403
01/4/2013,372
01/5/2013,438
01/6/2013,509
01/7/2013,1835
01/8/2013,1597
01/9/2013,1694
01/10/2013,2117
01/11/2013,2274
01/12/2013,2386
01/1/2014,1204
01/2/2014,1365
01/3/2014,1286
01/4/2014,485
01/5/2014,328
01/6/2014,593
01/7/2014,1682
01/8/2014,1785
01/9/2014,1612
01/10/2014,2245
01/11/2014,2408
01/12/2014,2193
01/1/2015,1435
01/2/2015,1218
01/3/2015,1369
01/4/2015,364
01/5/2015,489
01/6/2015,538
01/7/2015,1764
01/8/2015,1689
01/9/2015,1823
01/10/2015,2146
01/11/2015,2347
01/12/2015,2456
