Date,Consumption value
01/1/2012,1514
01/2/2012,1728
01/3/2012,1761
01/4/2012,728
01/5/2012,747
01/6/2012,918
01/7/2012,1899
01/8/2012,1746
01/9/2012,2083
01/10/2012,2693
01/11/2012,2776
01/12/2012,2861
01/1/2013,1699
01/2/2013,1679
01/3/2013,1762
01/4/2013,764
01/5/2013,848
01/6/2013,823
01/7/2013,1814
01/8/2013,1963
01/9/2013,2146
01/10/2013,2684
01/11/2013,2795
01/12/2013,2761
01/1/2014,1714
01/2/2014,1768
01/3/2014,1815
01/4/2014,793
01/5/2014,796
01/6/2014,917
01/7/2014,1934
01/8/2014,1851
01/9/2014,2094
01/10/2014,2736
01/11/2014,2789
01/12/2014,2895
01/1/2015,1778
01/2/2015,1796
01/3/2015,1892
01/4/2015,718
01/5/2015,848
01/6/2015,834
01/7/2015,1864
01/8/2015,1974
01/9/2015,2173
01/10/2015,2761
01/11/2015,2752
01/12/2015,2881
