Date,Consumption value
01/1/2012,1200
01/2/2012,1350
01/3/2012,1100
01/4/2012,450
01/5/2012,300
01/6/2012,600
01/7/2012,1700
01/8/2012,1800
01/9/2012,1900
01/10/2012,2200
01/11/2012,2300
01/12/2012,2400
01/1/2013,1300
01/2/2013,1100
01/3/2013,1450
01/4/2013,250
01/5/2013,500
01/6/2013,300
01/7/2013,1650
01/8/2013,1550
01/9/2013,1750
01/10/2013,2100
01/11/2013,2450
01/12/2013,2250
01/1/2014,1400
01/2/2014,1200
01/3/2014,1300
01/4/2014,400
01/5/2014,700
01/6/2014,500
01/7/2014,1600
01/8/2014,1800
01/9/2014,1700
01/10/2014,2300
01/11/2014,2400
01/12/2014,2200
01/1/2015,1250
01/2/2015,1100
01/3/2015,1400
01/4/2015,600
01/5/2015,250
01/6/2015,400
01/7/2015,1900
01/8/2015,1500
01/9/2015,1800
01/10/2015,2100
01/11/2015,2350
01/12/2015,2250
