Date,Consumption value
01/1/2012,1278
01/2/2012,1119
01/3/2012,1147
01/4/2012,292
01/5/2012,447
01/6/2012,389
01/7/2012,1415
01/8/2012,1374
01/9/2012,1759
01/10/2012,2064
01/11/2012,2042
01/12/2012,2187
01/1/2013,1049
01/2/2013,1348
01/3/2013,1203
01/4/2013,272
01/5/2013,438
01/6/2013,409
01/7/2013,1535
01/8/2013,1397
01/9/2013,1694
01/10/2013,2117
01/11/2013,2074
01/12/2013,2186
01/1/2014,1104
01/2/2014,1165
01/3/2014,1186
01/4/2014,285
01/5/2014,328
01/6/2014,493
01/7/2014,1482
01/8/2014,1385
01/9/2014,1612
01/10/2014,2245
01/11/2014,2108
01/12/2014,1993
01/1/2015,1335
01/2/2015,1118
01/3/2015,1369
01/4/2015,264
01/5/2015,489
01/6/2015,438
01/7/2015,1564
01/8/2015,1389
01/9/2015,1723
01/10/2015,2146
01/11/2015,2077
01/12/2015,2056
