Date,Consumption value
01/1/2012,1613
01/2/2012,1745
01/3/2012,1809
01/4/2012,729
01/5/2012,874
01/6/2012,795
01/7/2012,1879
01/8/2012,1946
01/9/2012,2113
01/10/2012,2637
01/11/2012,2789
01/12/2012,2831
01/1/2013,1677
01/2/2013,1684
01/3/2013,1779
01/4/2013,784
01/5/2013,851
01/6/2013,726
01/7/2013,1824
01/8/2013,1957
01/9/2013,2134
01/10/2013,2764
01/11/2013,2741
01/12/2013,2811
01/1/2014,1781
01/2/2014,1789
01/3/2014,1835
01/4/2014,617
01/5/2014,719
01/6/2014,863
01/7/2014,1849
01/8/2014,1914
01/9/2014,2037
01/10/2014,2723
01/11/2014,2787
01/12/2014,2876
01/1/2015,1775
01/2/2015,1797
01/3/2015,1806
01/4/2015,774
01/5/2015,872
01/6/2015,895
01/7/2015,1923
01/8/2015,1954
01/9/2015,2132
01/10/2015,2775
01/11/2015,2784
01/12/2015,2856
