Date,Average consumption 
30/1/2012,273.9644386
30/2/2012,275.5430617
30/3/2012,274.2366895
30/4/2012,273.7855114
30/5/2012,275.6321853
30/6/2012,274.6765871
30/7/2012,275.6442258
30/8/2012,274.3398936
30/9/ 2012,275.0664827
30/10/ 2012,274.9279171
30/11/ 2012,274.076123
30/12/ 2012,274.0070803
30/1/ 2013,275.4043362
30/2/ 2013,274.7191088
30/3/ 2013,273.7692708
30/4/2013,274.8036721
30/5/2013,274.449978
30/6/ 2013,274.8655546
30/7/2013,274.6973079
30/8/2013,274.6882275
30/9/2013,274.6968279
30/10/ 2013,276.3045322
30/11/2013,276.24889
30/12/2013,275.6457058
30/1/ 2014,275.7227089
30/2/ 2014,274.676067
30/3/ 2014,274.5369015
30/4/ 2014,275.6081843
30/5/ 2014,275.8184727
30/6/2014,274.6930277
30/7/2014,272.9426777
30/8/2014,275.4110564
30/9/ 2014,274.9575183
30/10/ 2014,275.7881115
30/11/2014,275.4313773
30/12/2014,276.1977679
30/1/ 2015,276.4152566
30/2/2015,273.7693908
30/3/ 2015,275.3590944
30/4/ 2015,275.9538382
30/5/2015,274.348854
30/6/2015,275.3402136
30/7/2015,275.9685187
30/8/2015,274.7342694
30/9/ 2015,276.3452138
30/10/2015,275.5398616
30/11/2015,274.6783871
30/12/2015,275.9651186
